object,category,type,path,m_score,recogntion
cooler,kitchen_items,nonliving,thesis_stim/cooler_exemplar1.jpg,0.2,new
slide,street_items,nonliving,thesis_stim/slide_exemplar1.jpg,0.314286,old
heron,birds,living,thesis_stim/heron_exemplar1.jpg,0.64,old
windmill,building,nonliving,thesis_stim/windmill_exemplar1.jpg,0.422222,old
blender,appliances,nonliving,thesis_stim/blender_exemplar1.jpg,0.413793,old
toy,toys,nonliving,thesis_stim/toy_exemplar1.jpg,0.511111,old
puffin,birds,living,thesis_stim/puffin_exemplar1.jpg,0.416667,old
pig,mammal,living,thesis_stim/pig_exemplar1.jpg,0.666667,new
cap,clothing,nonliving,thesis_stim/cap_exemplar1.jpg,0.408163,old
silo,building,nonliving,thesis_stim/silo_exemplar1.jpg,0.52,old
greyhound,mammal,living,thesis_stim/greyhound_exemplar1.jpg,0.551724,old
moth,insect,living,thesis_stim/moth_exemplar1.jpg,0.86,new
wristwatch,clothing,nonliving,thesis_stim/wristwatch_exemplar1.jpg,0.436364,new
ashtray,furniture,nonliving,thesis_stim/ashtray_exemplar1.jpg,0.76,new
drum set,music_inst,nonliving,thesis_stim/drum_set_exemplar1.jpg,0.583333,new
telephone booth,street_items,nonliving,thesis_stim/telephone_booth_exemplar1.jpg,0.488372,new
thimble,household_items,nonliving,thesis_stim/thimble_exemplar1.jpg,0.642857,new
globe,decor,nonliving,thesis_stim/globe_exemplar1.jpg,0.622222,old
butterfly,insect,living,thesis_stim/butterfly_exemplar1.jpg,0.666667,old
parking meter,street_items,nonliving,thesis_stim/parking_meter_exemplar1.jpg,0.482759,old
clam,sea,living,thesis_stim/clam_exemplar1.jpg,0.638889,old
cooking pot,kitchen_items,nonliving,thesis_stim/cooking_pot_exemplar1.jpg,0.32,old
circuit board,electronics,nonliving,thesis_stim/circuit_board_exemplar1.jpg,0.611111,new
ski mask,clothing,nonliving,thesis_stim/ski_mask_exemplar1.jpg,0.77551,old
shield,decor,nonliving,thesis_stim/shield_exemplar1.jpg,0.464286,old
firetruck,vehicle,nonliving,thesis_stim/firetruck_exemplar1.jpg,0.88,old
horseshoe crab,sea,living,thesis_stim/horseshoe_crab_exemplar1.jpg,0.954545,old
fire station,building,nonliving,thesis_stim/fire_station_exemplar1.jpg,0.485714,old
magnifying glass,office_supplies,nonliving,thesis_stim/magnifyingglass_exemplar1.jpg,0.466666667,old
schoolbus,vehicle,nonliving,thesis_stim/schoolbus_exemplar1.jpg,0.622222,old
fan,appliances,nonliving,thesis_stim/fan_exemplar1.jpg,0.555556,old
reindeer,mammal,living,thesis_stim/reindeer_exemplar1.jpg,0.822222,new
armoire,furniture,nonliving,thesis_stim/armoire_exemplar1.jpg,0.517241,new
construction helmet,clothing,nonliving,thesis_stim/construction_helmet_exemplar1.jpg,0.4,old
dishwasher,appliances,nonliving,thesis_stim/dishwasher_exemplar1.jpg,0.458333,old
pyramid,building,nonliving,thesis_stim/pyramid_exemplar1.jpg,0.485714,old
spotlight,furniture,nonliving,thesis_stim/spotlight_exemplar1.jpg,0.350877,old
binoculars,tools,nonliving,thesis_stim/binoculars_exemplar1.jpg,0.448276,old
firewood,household_items,nonliving,thesis_stim/firewood_exemplar1.jpg,0.489796,old
glass,kitchen_items,nonliving,thesis_stim/glass_exemplar1.jpg,0.2,old
dollhouse,toys,nonliving,thesis_stim/dollhouse_exemplar1.jpg,0.285714,old
cigarette,household_items,nonliving,thesis_stim/cigarette_exemplar1.jpg,0.75,new
jewlery box,decor,nonliving,thesis_stim/jewlery_box_exemplar1.jpg,0.44186,old
cookie tin,kitchen_items,nonliving,thesis_stim/cookie_tin_exemplar1.jpg,0.269231,new
galleon,vehicle,nonliving,thesis_stim/galleon_exemplar1.jpg,0.571429,new
baseball bat,sports,nonliving,thesis_stim/baseball_bat_exemplar1.jpg,0.607143,old
doghouse,street_items,nonliving,thesis_stim/doghouse_exemplar1.jpg,0.84,old
sleigh,vehicle,nonliving,thesis_stim/sleigh_exemplar1.jpg,0.5,old
mixer,appliances,nonliving,thesis_stim/mixer_exemplar1.jpg,0.6,old
bulldozer,vehicle,nonliving,thesis_stim/bulldozer_exemplar1.jpg,0.413793,new
swan,birds,living,thesis_stim/swan_exemplar1.jpg,0.77551,new
oven,appliances,nonliving,thesis_stim/oven_exemplar1.jpg,0.527778,old
tuba,music_inst,nonliving,thesis_stim/tuba_exemplar1.jpg,0.678571,old
giraffe toy,toys,nonliving,thesis_stim/giraffe_toy_exemplar1.jpg,0.535714,old
bongo drum,music_inst,nonliving,thesis_stim/bongo_drum_exemplar1.jpg,0.416667,old
electric drumset,music_inst,nonliving,thesis_stim/electric_drumset_exemplar1.jpg,0.333333,old
boot,clothing,nonliving,thesis_stim/boot_exemplar1.jpg,0.47619,old
stapler,office_supplies,nonliving,thesis_stim/stapler_exemplar1.jpg,0.257143,new
millipede,insect,living,thesis_stim/millipede_exemplar1.jpg,0.722222,old
teepee,building,nonliving,thesis_stim/teepee_exemplar1.jpg,0.563636,old
castle,building,nonliving,thesis_stim/castle_exemplar1.jpg,0.357143,old
tricycle,vehicle,nonliving,thesis_stim/tricycle_exemplar1.jpg,0.34,new
frame,household_items,nonliving,thesis_stim/frame_exemplar1.jpg,0.464286,old
bluebird,birds,living,thesis_stim/bluebird_exemplar1.jpg,0.74,old
caterpillar,insect,living,thesis_stim/caterpillar_exemplar1.jpg,0.740741,old
ironing board,household_items,nonliving,thesis_stim/ironing_board_exemplar1.jpg,0.5,old
chess bishop,toys,nonliving,thesis_stim/chess_bishop_exemplar1.jpg,0.642857,old
tray,kitchen_items,nonliving,thesis_stim/tray_exemplar1.jpg,0.4,new
dress shoe,clothing,nonliving,thesis_stim/dress_shoe_exemplar1.jpg,0.535714,old
pushpin,office_supplies,nonliving,thesis_stim/pushpin_exemplar1.jpg,0.625,new
hamster wheel,household_items,nonliving,thesis_stim/hamster_wheel_exemplar1.jpg,0.48,old
scroll,decor,nonliving,thesis_stim/scroll_exemplar1.jpg,0.4,old
bathtub,furniture,nonliving,thesis_stim/bathtub_exemplar1.jpg,0.527778,new
bed,furniture,nonliving,thesis_stim/bed_exemplar1.jpg,0.138889,old
tour bus,vehicle,nonliving,thesis_stim/tour_bus_exemplar1.jpg,0.755556,old
pelican,birds,living,thesis_stim/pelican_exemplar1.jpg,0.666667,new
moose,mammal,living,thesis_stim/moose_exemplar1.jpg,0.666667,new
rollerskates,sports,nonliving,thesis_stim/rollerskates_exemplar1.jpg,0.477273,old
refrigerator,appliances,nonliving,thesis_stim/refrigerator_exemplar1.jpg,0.607143,new
pearl necklace,clothing,nonliving,thesis_stim/pearl_necklace_exemplar1.jpg,0.36,old
jet-ski,vehicle,nonliving,thesis_stim/jet-ski_exemplar1.jpg,0.310345,old
rockinghorse,toys,nonliving,thesis_stim/rockinghorse_exemplar1.jpg,0.613636,old
barn,building,nonliving,thesis_stim/barn_exemplar1.jpg,0.5,old
office building,building,nonliving,thesis_stim/office_building_exemplar1.jpg,0.551724,old
rollerblade,sports,nonliving,thesis_stim/rollerblade_exemplar1.jpg,0.457143,new
mocassins,clothing,nonliving,thesis_stim/mocassins_exemplar1.jpg,0.277778,old
scale,household_items,nonliving,thesis_stim/scale_exemplar1.jpg,0.309524,old
house,building,nonliving,thesis_stim/house_exemplar1.jpg,0.44898,new
flamingo,birds,living,thesis_stim/flamingo_exemplar1.jpg,0.857143,new
toaster oven,appliances,nonliving,thesis_stim/toaster_oven_exemplar1.jpg,0.5,new
in basket,office_supplies,nonliving,thesis_stim/in_basket_exemplar1.jpg,0.533333,old
guardrail,street_items,nonliving,thesis_stim/guardrail_exemplar1.jpg,0.428571,old
safe,tools,nonliving,thesis_stim/safe_exemplar1.jpg,0.571429,old
chainsaw,appliances,nonliving,thesis_stim/chainsaw_exemplar1.jpg,0.527273,new
cockroach,insect,living,thesis_stim/cockroach_exemplar1.jpg,0.694444,new
clamp,tools,nonliving,thesis_stim/clamp_exemplar1.jpg,0.5,old
triangle,music_inst,nonliving,thesis_stim/triangle_exemplar1.jpg,0.4375,old
scanner,electronics,nonliving,thesis_stim/scanner_exemplar1.jpg,0.4,old
covered wagon,vehicle,nonliving,thesis_stim/covered_wagon_exemplar1.jpg,0.37931,new
bottle,kitchen_items,nonliving,thesis_stim/bottle_exemplar1.jpg,0.363636,old
saltshaker,kitchen_items,nonliving,thesis_stim/saltshaker_exemplar1.jpg,0.666667,old
harp,music_inst,nonliving,thesis_stim/harp_exemplar1.jpg,0.6,old
hockey mask,sports,nonliving,thesis_stim/hockey_mask_exemplar1.jpg,0.7,old
